Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Daniil Medvedev [RUS],65,50-15,76.9%,67.7%,67.5%,507,11.4%,230,5.2%,14.1%,63.4%,76.7%,52.3%,60.9%,86.4%,6.2,2.0
2,Alexander Zverev [GER],57,44-13,77.2%,68.6%,67.6%,416,12.1%,149,4.3%,14.8%,70.7%,76.3%,49.9%,58.5%,86.8%,6.0,1.9
3,Rafael Nadal [ESP],39,35-4,89.7%,66.7%,67.8%,159,5.6%,120,4.3%,12.3%,65.5%,72.9%,55.1%,62.8%,84.5%,6.2,2.1
4,Carlos Alcaraz [ESP],66,54-12,81.8%,66.7%,67.2%,237,5.1%,151,3.2%,9.2%,64.7%,72.4%,56.1%,61.8%,84.8%,6.3,2.1
5,Stefanos Tsitsipas [GRE],70,50-20,71.4%,67.7%,66.2%,506,9.9%,144,2.8%,7.3%,61.5%,75.7%,54.8%,59.1%,85.5%,6.2,2.0
6,Novak Djokovic [SRB],40,34-6,85.0%,68.9%,68.2%,221,8.4%,74,2.8%,7.8%,64.0%,76.7%,55.2%,59.9%,86.6%,6.0,1.9
7,Casper Ruud [NOR],75,55-20,73.3%,67.0%,66.2%,360,7.5%,124,2.6%,7.2%,64.1%,74.3%,54.2%,58.4%,84.9%,6.2,2.1
8,Felix Auger Aliassime [CAN],65,41-24,63.1%,66.4%,64.9%,653,13.7%,242,5.1%,13.7%,62.9%,76.6%,49.1%,56.9%,83.7%,6.3,2.1
9,Cameron Norrie [GBR],81,56-25,69.1%,64.3%,64.0%,324,5.5%,160,2.7%,7.9%,65.4%,70.6%,52.2%,56.6%,80.9%,6.3,2.3
10,Hubert Hurkacz [POL],65,43-22,66.2%,68.7%,64.5%,742,15.2%,88,1.8%,5.0%,63.9%,76.8%,54.4%,57.2%,88.2%,6.2,1.9
11,Andrey Rublev [RUS],67,45-22,67.2%,66.0%,64.3%,483,10.6%,144,3.2%,8.5%,62.7%,75.6%,49.9%,54.5%,82.9%,6.2,2.1
12,Taylor Fritz [USA],67,48-19,71.6%,67.5%,65.2%,622,12.1%,152,3.0%,7.7%,61.4%,76.7%,52.8%,57.2%,85.2%,6.2,2.0
13,Jannik Sinner [ITA],70,54-16,77.1%,66.4%,65.9%,338,6.8%,141,2.9%,7.0%,59.0%,75.1%,53.8%,57.8%,84.6%,6.2,2.1
14,Matteo Berrettini [ITA],36,24-12,66.7%,68.4%,65.0%,436,14.2%,74,2.4%,6.9%,65.1%,77.8%,50.9%,54.7%,89.2%,6.4,2.0
15,Pablo Carreno Busta [ESP],57,34-23,59.6%,65.3%,65.3%,193,4.6%,103,2.4%,7.3%,66.7%,70.4%,54.9%,59.3%,82.1%,6.2,2.1
16,Diego Schwartzman [ARG],66,41-25,62.1%,59.0%,61.0%,76,1.6%,205,4.3%,12.6%,65.9%,64.8%,47.8%,54.7%,70.7%,6.6,2.7
17,Marin Cilic [CRO],57,36-21,63.2%,66.3%,63.8%,541,14.1%,154,4.0%,9.6%,58.3%,78.2%,49.7%,55.0%,83.7%,6.2,2.1
18,Roberto Bautista Agut [ESP],49,33-16,67.3%,65.2%,65.1%,144,4.0%,74,2.1%,6.1%,66.1%,70.8%,54.1%,57.7%,82.0%,6.3,2.2
19,Grigor Dimitrov [BUL],50,29-21,58.0%,66.6%,67.6%,209,6.1%,148,4.3%,12.1%,64.3%,74.7%,52.2%,59.4%,82.2%,6.1,2.0
20,Alex De Minaur [AUS],64,38-26,59.4%,62.1%,62.1%,218,4.4%,129,2.6%,6.6%,60.1%,68.6%,52.4%,56.1%,77.3%,6.5,2.5
